original_text,translated_text
brush,"кисть, щётка, чистить"
brute,"животное, зверь, грубый"
bubble,пузырь
buck,"самец, обычно рогатых"
bucket,"ведро, бадья"
buckle,пряжка
buckle up,пристегнуться
bud,бутон или почка растения
buddy,"дружище, парень"
budge,сдвинуть
buffalo,буйвол или бизон
bug,жук
build on,"нарастить, развить"
built-in,встроенный
bulb,"лампа, колба"
bulge,"бугор, выпуклость"
bulk,основная масса
bullet,пуля
bullshit,"ерунда, чушь"
bully,"задира, задирать"
bum,бомж или бездельник
bump,"шишка, выпуклость"
bump,"удар, ударять"
bun,булочка
bunch,"связка, пучок, группа"
bundle,"связка, пучок, пачка"
bunk,"койка, спальное место"
bunny,"кролик (разг, детск.)"
burden,"бремя, нагружать"
burglar,вор взломщик
burn,жечь
burn down,"сгореть, сжечь (полностью)"
burn out,"выгореть, перегореть"
burrow,"нора, зарываться"
burst,"взрыв, всплеск и т. д."
bury,хоронить
bush,куст
bustle,"суета, суматоха"
busy,занятый
butcher,мясник
butt,"торец, зад"
butt,задница
butt in,"встревать, вмешиваться"
butter,масло сливочное
butterfly,бабочка
button,"пуговица, застёгивать"
buy,"верить, соглашаться (разг.)"
buy up,скупить
buzz,жужжать
by chance,случайно
by far,безусловно
by heart,наизусть
by oneself,"один, сам"
by the way,кстати
bypass,"обходить, обход"
cab,такси
cabbage,капуста
cabin,хижина
cable,"канат, кабель, трос и т.д."
cage,клетка
calf (pl:calves),теленок
call back,перезвонить
call for,"требовать, взывать"
call off,отменить
call on,"обратиться, попросить"
calm,"спокойный, успокоить"
calm down,успокоиться
camp,лагерь
can,банка
cancel,отменять
cancer,рак (болезнь)
candid,"честный, беспристрастный"
candle,свеча
candy,конфеты
cane,трость
cannon,пушка
canopy,"навес, тент, полог"
canvas,холст
cap,"кепка, шляпа, колпачок"
capable,способный к ч-л.
capacity,"ёмкость, вместимость"
capacity,"способность, возможность"
cape,мыс
capital,"главный, большой, высший"
captive,пленник
capture,захватить
carbohydrate,углевод
carbon,"углерод, уголь, графит"
carcass,туша
cardboard,картон
care,"забота, уход"
care,"переживать, интересоваться"
career,карьера
caress,"ласкать, гладить"
cargo,"груз, грузовой"
carpenter,плотник
carpet,ковер
carriage,каретка
carrot,морковь
carry,носить
carry out,выполнить
cart,телега
cartoon,мультфильм
carve,вырезать (напр. из дерева)
case,"случай, дело"
case,"ящик, футляр, чехол"
cash,"наличка, обналичить"
casket,шкатулка или гроб (амер.)
"cast (cast, cast)","бросать, метать"
"cast (cast, cast)",отливать
casual,случайный
casualty,"жертва, потери"
catch,"расслышать, уловить"
"catch (caught, caught)",ловить
catch on,становиться популярным
catch on,внезапно понять
catch up on,следить быть в курсе
catch up with,догнать
cater,"обслуживать, угождать"
catering,общественное питание
cathedral,собор
cattle,крупный рогатый скот
cause,"причина, быть причиной"
caution,"предосторожность, предостережение"
cave,"пещера, полость"
caviar,икра
cavity,"полость, впадина"
cease,прекращать
cedar,кедр
ceiling,"потолок, перекрытие"
celebrate,праздновать
celebrity,знаменитость
celestial,"астрономический, небесный"
cell,"ячейка, клетка"
cellar,подвал
cellular,сотовый
cemetery,кладбище
censorship,цензура
census,перепись
century,век
cereal,"злак, каша, хлопья"
certain,"определённый, уверенный"
chain,цепь
chair,стул
chairman,председатель
chalk,мел
challenge,"вызов, необычная задача"
chamber,"кабинет, зал, палата, камера"
chancellor,канцлер
change,"сдача, мелочь"
chant,"петь, скандировать, песнопение"
chaos,хаос
chap,парень
chapel,часовня
chapter,глава
character,персонаж
charge,"заряжать, нагружать"
charge,обвинять
charge,плата
charity,благотворительность
charm,"обаяние, очаровывать"
chart,"схема, график, таблица"
chase,"погоня, гнаться"
chat,болтать
chatter,"болтать, болтовня"
cheat,жульничать
cheat on,изменять
check,проверить
check in,вселиться (в отель)
check into,лечь (в больницу)
check on,"проверить, что всё норм"
check out,"посмотреть, заценить"
check out,освободить номер
checkup,медосмотр
cheek,щека
cheer,"аплодировать, радостно встречать"
cheer on,болеть (за спорт)
cheer up,взбодриться
cheerful,"весёлый, неунывающий"
chef,шеф-повар
chemistry,химия
cherish,"лелеять, хранить"
chess,шахматы
chest,грудь (грудная клетка)
chest,сундук
chestnut,каштан
chew,жевать
chief,"вождь, начальник, главный"
childhood,детство
chill,"холод, охлаждать"
chill out,расслабиться
chimney,дымовая труба
chin,подбородок
chip,"щепка, стружка"
choice,выбор
choir,хор
choke,"задыхаться,  давиться"
chop,рубить
chop down,срубить (дерево)
chop up,порезать (на кусочки)
chord,аккорд
chore,скучная неприятная работа
chorus,припев
Christmas,рождество
chuck,бросать (небрежно)
chuckle,посмеиваться
chunk,кусок
church,церковь
cinema,"кино, кинотеатр"
cinnamon,корица
circle,"круг, окружность"
circuit,"схема, цепь, контур"
circumstance,обстоятельство
circus,цирк
cite,"упоминать, цитировать"
citizen,гражданин
civic,гражданский
civil,гражданский
civilian,гражданский
claim,"требовать, претендовать"
claim,"утверждать, претендовать"
clam,моллюск
clamour,"шум, ропот, протесты"
clamp,"зажимать, зажим"
clap,хлопать в ладоши
clarify,прояснять
clash,столкновение
clasp,"застёжка, застёгивать"
clause,"пункт, статья документа"
claw,"коготь, клешня"
clay,глина
clean up,убрать (мусор)
cleanse,очищать
clear,"ясный, чистый (пр. и перен.)"
clear off,убраться вон
clear out,"убирать, забирать"
clear up,прояснить(ся)
cleave,раскалывать
clench,"стиснуть, сжать"
clergy,духовенство
clerical,"канцелярский, административный"
clever,умный
click,"щёлкать, щелчок"
cliff,утес
climax,"кульминация, разгар"
climb,взбираться
"cling (clung, clung)",цепляться
clip,"отсекать, обрезать"
clip,"зажим, зажимать"
cloak,"плащ, мантия, покров"
clockwise,по часовой стрелке
clog,загромождать
close down,закрыться (насовсем)
close in on,приближаться
closet,стенной шкаф
closure,"закрытие, завершение"
cloth,"ткань, тряпка"
clothe,"одевать, покрывать"
cloud,облако
clout,"влияние, влиятельность"
clove,гвоздика
clue,"ключ, нить, улика"
clump,"комок, кучка, клок"
clumsy,"неловкий, неуклюжий"
clutch,"сцеплять, сцепление"
clutter,"беспорядок, куча всего"
coach,"автобус, вагон, телега"
coach,тренер
coal,уголь
coarse,"грубый, крупный, шероховатый"
coast,побережье
coaster,подставка
coat,покрывать
coat,пальто
coax,"убедить, соблазнить сделать"
coconut,кокос
coerce,принуждать
coffin,гроб
coherent,"согласованный, связный"
cohesion,"единство, согласие"
coil,"катушка, моток, наматывать"
coincide,совпасть
coincidence,совпадение
cold,простуда
collaborate,сотрудничать
collapse,"обрушиться, сложиться"
collar,воротник или ошейник
collect,собирать
collide,сталкиваться
colon,двоеточие
colonel,полковник
column,"столб, колонна"
comb,"расческа, причёсывать"
combat,бой
combine,соединять(ся)
come about,произойти
come across,встретить (случайно)
come along,идти вместе
come along,продвигаться (о работе)
come by,"найти, заполучить"
come by,зайти
come down,сводиться
come from,быть из
come into,унаследовать
come off,"выйти, получиться"
come off,отвалиться
come on,включаться
come out,"выступить, заявить"
come out,выходить (напр. об альбоме)
come over,заходить (в гости)
come through,"пережить, перенести"
come to,очнуться
come to,доходить до
come to life,"оживать, приходить в себя"
come true,сбываться
come under,подвегрнуться
come up,произойти или появиться
come up,приближаться (о событии)
come up to,подойти к кому-л.
come up with,придумать
come with,прилагаться
comedian,комик
comfort,"утешать, утешение"
commemorate,"отметить, почтить"
commence,начинать
commend,высоко оценивать
commercial,реклама (на ТВ)
commission,"поручение, полномочие"
commit,совершить (напр. ошибку)
commitment,приверженность
commitment,обязательство
commodity,"товар, сырьё"
common,общий
common,"обычный, распространённый"
commonplace,"обычное дело, банальность"
commonwealth,содружество
communicate,общаться
community,"община, сообщество"
commute,"ходить, курсировать"
compact,договор
compare,сравнить
comparison,сравнение
compartment,"отсек, отделение, купе"
compassion,"сочуствие, сострадание"
compatible,совместимый
compel,"вынуждать, заставлять"
compete,соперничать
complain,жаловаться
complement,"допонять, дополнение"
complement,"набор, состав, комплект"
complete,"завершить, выполнить"
complex,сложный
complicate,усложнять
comply,"соблюдать, соответствовать"
compose,"составлять, сочинять"
compound,"состав, составной"
comprehend,"понять, вникнуть"
comprehensive,"исчерпывающий, всесторонний"
compress,"сжимать, прессовать"
comprise,"состоять из, охватывать"
compulsory,"принудительный, обязательный"
comrade,товарищ
conceal,скрывать
concede,уступить
conceive,"помыслить, представить"
concept,"понятие, идея"
concern,"забота, тревожить"
conclude,"заключать, завершать"
concrete,"бетон, бетонировать"
concur,соглашаться
condemn,осуждать
condition,состояние
condition,условие
conduct,"вести, поведение"
cone,конус
confer,"дать, принести, присудить"
confer,совещаться
confess,признаваться
confide,"доверить, вверить"
confident,уверенный
confine,ограничить (ся)
confirm,подтвердить
conform,соответствовать
confront,"противостоять, сталкиваться"
confuse,путать
congestion,"загруженность, запор"
congratulate,поздравлять
conjunction,"соединение, связь"
connect,соединять
conquer,завоевать
conquest,завоевание
conscience,"совесть, сознательность"
conscious,"сознательный, сознающий"
consecutive,последующий по времени
consent,"согласие, разрешение"
consequence,последствие
consequent,"последующий, вытекающий"
conserve,"беречь, экономить"
consider,"рассматривать, учитывать"
consider,считать чем-либо
considerable,"крупный, значительный"
consist of,состоять (из)
consistent,последовательный
console,утешать
conspicuous,заметный
conspire,сговариваться
constant,постоянный
constellation,созвездие
constitute,"составлять, образовывать"
constrain,ограничивать (препятствием)
construct,соорудить
construction (site),стройка
consult,советоваться
consume,потреблять
contain,содержать
contaminate,загрязнять
contemplate,созерцать или размышлять
contemporary,"современный, современник"
contempt,"презрение, презирать"
contend,"бороться, соперничать"
content,содержимое
content with,"довольный, довольство"
contest,"соревнование, конкурс"
contingency,непредвиденные обстоятельства
continue,продолжить
contract,сокращаться
contradict,противоречить
contrary,"противоположный, вопреки"
contribute,"способствовать, вносить вклад"
